class_id,nu0_pair_policy,audit_status,archetype,action_id,one_way,move_shape,delta_atoms,Ea_rep_eV,Ea_std_eV,n_eff,flux_firings,n_selected,occupancy_s,n_instances,reachable,n_members,donor,donor_run,donor_idx,cum_flux_frac_pend
aa6e9c6a9e4e6d4c04cfcb3a398e1f5da3cd73834c0020a9dc01a15013da3760,pending_research,pending,4972478298379930765,6698383570156747695,False,3688026399,0,0.47755585357754177,,1.0,0.0,0.0,0.0,0.0,False,1,NiFe_Ni95_Fe05_T800_9vac#638,NiFe_Ni95_Fe05_T800_9vac,638,0.999999999999982
aa5df0fbec67c1256b154206525cbb2818a9bf6812eac295c4f72ce2363a189e,pending_research,pending,4972478298379930765,6698383570156747695,False,1466825020,0,0.7361614094661489,,1.0,0.0,0.0,0.0,0.0,False,1,NiFe_Ni95_Fe05_T600_6vac#849,NiFe_Ni95_Fe05_T600_6vac,849,0.999999999999982
aa0ed950861eafc0f99fed535393bea7f267743b36b428c7a3153853a7b088ab,pending_research,pending,4972478298379930765,6698383570156747695,False,3031796809,0,0.6699302514989541,,1.0,0.0,0.0,0.0,0.0,False,1,NiFe_Ni95_Fe05_T700_10vac#335,NiFe_Ni95_Fe05_T700_10vac,335,0.999999999999982
aa3d9253b750f699df77fcd106c2155841e0b9803b8b2c01a75e9630bec847ab,pending_research,pending,16081547091938186986,1905059834916716941,False,1282138701,0,1.362799257363804,,1.0,0.0,0.0,0.0,0.0,False,1,NiFe_Ni95_Fe05_T700_9vac#1060,NiFe_Ni95_Fe05_T700_9vac,1060,0.999999999999982
34dfefc4686813aba47ab3329784e8ded4b18af1a09433af93a50b8bb5324be3,pending_research,approved,4972478298379930765,6698383570156747695,False,421079871,0,0.7385908810699258,,2.0,0.0,0.0,0.0,0.0,False,2,NiFe_Ni95_Fe05_T600_9vac#794,NiFe_Ni95_Fe05_T600_9vac,794,0.999999999999982
34df7adc4d89bd8230c333881f14921caaeaf888bf9876455d46d27f3683b0e3,pending_research,pending,4972478298379930765,6698383570156747695,False,702021517,0,0.6926490981104508,,1.0,0.0,0.0,0.0,0.0,False,1,NiFe_Ni95_Fe05_T800_10vac#679,NiFe_Ni95_Fe05_T800_10vac,679,0.999999999999982
34db00bb5c9770c3760e7f965f377dab22d1ecbc74b7efaa8ef98287a37a66d8,pending_research,pending,4972478298379930765,6698383570156747695,False,3688026399,0,0.3477863096732107,,1.0,0.0,0.0,0.0,0.0,False,1,NiFe_Ni95_Fe05_T600_8vac#951,NiFe_Ni95_Fe05_T600_8vac,951,0.999999999999982
34d58cf824d5f632cd5a0d77a170f53a1ff2bc78086ed5f89ac8027421b83e77,pending_research,pending,5330918672303922021,16426931232365969814,True,1231408413,0,1.0047299797015514,,1.0,0.0,0.0,0.0,0.0,False,1,NiFe_Ni95_Fe05_T800_10vac#1074,NiFe_Ni95_Fe05_T800_10vac,1074,0.999999999999982
34cfe98a7cc3766d31c623fdab689e37d940fee8f9844bdfeee658e13e8c2f70,pending_research,pending,5330918672303922021,16426931232365969814,True,1231408413,0,1.0067454824375093,,1.0,0.0,0.0,0.0,0.0,False,1,NiFe_Ni95_Fe05_T800_10vac#1229,NiFe_Ni95_Fe05_T800_10vac,1229,0.999999999999982
34ce879da8b5cfbded2bb98202cd50d9f51d4187e1fec5d5fc1e0c0eb3c5a828,pending_research,pending,15071427871406947419,13662934050233703884,True,4130858657,0,0.34454004959297896,,1.0,0.0,0.0,0.0,0.0,False,1,NiFe_Ni95_Fe05_T800_10vac#470,NiFe_Ni95_Fe05_T800_10vac,470,0.999999999999982
