class_id,leg_rank,selected,stratum,arch_name,fe_role,flux_firings,Ea_rep_eV,Ea_std_eV,n_members,tok_kinds,n_tok,n_disp_gt1A,mover_rank,mover_margin_A,dra_stored_A,pred_search_run,pred_search_idx,pred_Ea_member_eV,prev_status,pct_pending_flux
92d4ec76bd65a1075193f5f705e21b438cb1b819b661972d676eb431fa089c74,70,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,18.40226629659449,0.6607636521039241,,1,OTHER,1,1,0,2.4848715677695274,1.2722247552609764,NiFe_Ni95_Fe05_T600_3vac,199,0.660763652103924,,0.17721297306814396
caeacfbcc2513f15e136cc1aa550be22e03faba21fe3b10fc5a96752c29b1fb6,71,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,18.2767858699482,0.68694175069777,,1,HOLLOW_FCC,1,1,0,2.487284443522028,1.3606521053718421,NiFe_Ni95_Fe05_T800_7vac,1329,0.6869417506977697,,0.17600460236480492
6d3144bb685ccb15588f1119bcdc84007a52d4b3ade1ca9cbe3745e643807c52,72,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,18.23196101606817,0.652437281359198,,1,OTHER,1,1,0,2.4806331965625605,1.2734838648453866,NiFe_Ni95_Fe05_T800_1vac,725,0.6524372813591981,,0.17557294109573093
cabcde24b79c80c948a1a4307583e056f8bc1de99d26dc2d69d8cc3e2ade3d58,73,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,18.13076845244223,0.5652038887878564,,2,OTHER,1,1,0,2.486679039386422,1.2714738199648867,NiFe_Ni95_Fe05_T800_8vac,980,0.6515637103984773,,0.17459846138961677
9045390df26ffeba98b466f7c812b41c3d46c4f542ce9f78d0a407fd3c967ed1,74,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,18.08315913456128,0.656045402286509,,1,OTHER,1,1,0,2.487557670860017,1.266188602998435,NiFe_Ni95_Fe05_T800_2vac,663,0.6560454022865088,,0.17413998586103524
3e76c6620c282a1a9bd325248b9e1bbbe350d5cd58f55f2bcdc30f21464c8f56,75,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,18.05472841057349,0.6858041198211141,,1,HOLLOW_FCC,1,1,0,2.486726258535214,1.3902448080258836,NiFe_Ni95_Fe05_T800_7vac,1328,0.685804119821114,,0.17386619930436048
b24ac1c62ab8a3ed68661faa53caf61534d38fd6af3007d275df62f13ff3885f,76,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,18.052636014694112,0.6529444450952725,,1,OTHER,1,1,0,2.4810371449060904,1.2630191464327394,NiFe_Ni95_Fe05_T700_7vac,818,0.6529444450952724,,0.17384604962884534
546a253b40ff0720f0880cfa17dda3d45b04dd07a5fed071e0f07ef55bb08699,77,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,17.945148408588594,0.8370041264024622,,1,HOLLOW_FCC,1,1,0,2.496464851933825,1.442704289538079,NiFe_Ni95_Fe05_T700_9vac,1098,0.8370041264024621,,0.17281094895488858
570f62b117ac4002e268d73258bc5daa691e29ab60b8825dcfc8f454e708d3a3,78,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,17.92128428270666,0.6562551518636612,,1,OTHER,1,1,0,2.4855485589123867,1.2690353721431566,NiFe_Ni95_Fe05_T800_2vac,558,0.656255151863661,,0.17258113852670276
06ac566610a66aa952546cadcd3f5df96e0752a11b85ec322493919119d0c05b,79,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,17.71487149146161,0.6743562820211083,,1,OTHER,1,1,0,2.480669987346606,1.2827636483401879,NiFe_Ni95_Fe05_T700_1vac,315,0.6743562820211082,,0.17059339289655726
a5a66493ff1a8db11e53a0a1c5c5ef59e9238671a012d6846eed413c7beefff8,80,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,17.7015632639169,0.6541201505926189,,2,OTHER,1,1,0,2.4819621571925343,1.2564548617022397,NiFe_Ni95_Fe05_T700_3vac,541,0.6540760207026324,,0.17046523528099758
4598c1f1cb80888db47d5aafb85a0dbd8ec2a3d34fcf7127523713b55759523f,81,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,17.598725374952895,0.6587024363470845,,1,OTHER,1,1,0,2.4817330809976377,1.275542275463389,NiFe_Ni95_Fe05_T800_1vac,515,0.6587024363470846,,0.1694749111679977
cf234e9de15f72bb0dfb0bd147ba3f4ff4c7f3f403be2b801d092eee8da0659e,82,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,17.45680781623575,0.5459466431429975,,1,HOLLOW_FCC,1,1,0,2.5032999458833114,1.125512031113256,NiFe_Ni95_Fe05_T800_6vac,315,0.5459466431429973,,0.16810825164326879
03e7a677a83933eaeedf8799b6f891e958e076cee50e821fb7a6075161685f01,83,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,16.961260612809085,0.638448260227051,,1,OTHER,1,1,0,2.4704766576540442,1.272424160411273,NiFe_Ni95_Fe05_T800_8vac,745,0.6384482602270509,,0.163336155000417
644d582e3dcc8d7cf941f366f0c747a680025cd62d6a6e12328a0ad478e558d2,84,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,16.9058200936486,0.6546692694537343,,1,OTHER,1,1,0,2.484478691923521,1.280404585682135,NiFe_Ni95_Fe05_T700_1vac,291,0.6546692694537342,,0.1628022653658186
aaabe71be3356b5631059147ad06fa5a4c6db322bac64f28d4246e66611d97a5,85,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,16.69271893641228,0.6532080188108013,,1,OTHER,1,1,0,2.4832990793528738,1.2859345725903721,NiFe_Ni95_Fe05_T800_9vac,1225,0.6532080188108011,,0.1607501110806098
f5720a2c6b667ba4747fca8e63d429800a12d45f0386bee4561bf6f50724bbc0,86,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,16.690100581600973,0.6583355417669735,,1,HOLLOW_FCC,1,1,0,2.4817330809976377,1.272533473904741,NiFe_Ni95_Fe05_T800_1vac,516,0.6583355417669736,,0.16072489644491328
17ddbdd4c40dbcd9d64073510325e10537be9141146bdc110694899f1c65d1dc,87,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,16.680625286519323,0.6602851842426388,,1,OTHER,1,1,0,2.4892972697431426,1.2917602718053778,NiFe_Ni95_Fe05_T800_1vac,557,0.6602851842426389,,0.16063364979164493
cd074f69d300aaa2c162d739e70241b52bb4ab86bdfd5b8071dad26ee4db9636,88,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,16.67043957464596,0.6571802889993706,,1,OTHER,1,1,0,2.4841224666983326,1.275834407407794,NiFe_Ni95_Fe05_T700_2vac,541,0.6571802889993705,,0.16053556185753934
650e0a68ecf869d5d56685bf5411bff8c7caedf502b5af44682b1c7fd88cdd5d,89,True,A1_fe_mover,V1NN_inplane,A1_fe_mover,16.59169157031974,0.6357166947422216,0.02,5,OTHER,1,1,0,2.488720350353129,1.2820033469085703,NiFe_Ni95_Fe05_T300_10vac,167,0.662948857817355,,0.1597772222190995
