class_id,nu0_pair_policy,audit_status,archetype,action_id,one_way,move_shape,delta_atoms,Ea_rep_eV,Ea_std_eV,n_eff,flux_firings,n_selected,occupancy_s,n_instances,reachable,n_members,donor,donor_run,donor_idx,cum_flux_frac_pend,arch_name,fe_role,tok_kinds,n_tok,n_disp_gt1A,mover_rank,mover_margin_A,dra_stored_A,prev_status,stratum
da6f3fdfd45b2499b776b7d3895518a3c7daf28db7c791a55a49baf585e3bc76,pending_research,pending,4972478298379930765,5581027151000475338,False,702021517,0,0.622903166992728,,1.0,25.551785292660547,27.0,1.36694957312e-07,58.0,True,1,NiFe_Ni95_Fe05_T700_6vac#620,NiFe_Ni95_Fe05_T700_6vac,620,0.09107304618833398,V1NN_inplane,A1_fe_mover,OTHER,1,1,0,2.4650542096221306,1.2608674659523023,,A1_fe_mover
385d293b7a2a7a931d2127dfc50daeb7c2bf8dacccdbfb3e5d09c8ed99799d09,pending_research,pending,4972478298379930765,5581027151000475338,False,702021517,0,0.6604874280028527,,1.0,25.49327814272715,20.0,2.8129712470000006e-08,22.0,True,1,NiFe_Ni95_Fe05_T700_1vac#343,NiFe_Ni95_Fe05_T700_1vac,343,0.09352803707919063,V1NN_inplane,A1_fe_mover,OTHER,1,1,0,2.484657758641884,1.2753834924881904,,A1_fe_mover
9e78f405812985015efd72f5ba84bcd5134edf334b8252dd57766ea228b0247e,pending_research,pending,4972478298379930765,5581027151000475338,False,702021517,0,0.6592822018119479,,1.0,25.467730022339023,27.0,7.163755884e-09,68.0,True,1,NiFe_Ni95_Fe05_T800_4vac#624,NiFe_Ni95_Fe05_T800_4vac,624,0.09598056769787358,V1NN_inplane,A1_fe_mover,OTHER,1,1,0,2.4906926587942815,1.2843809274125209,,A1_fe_mover
d9acd8a4f36a89750b5f274220a841c461c4b8d569983a6738a7ce90daf5a905,pending_research,pending,4972478298379930765,5581027151000475338,False,1466825020,0,0.6747500843739546,,1.0,25.41466339500778,20.0,9.12977041e-06,21.0,True,1,NiFe_Ni95_Fe05_T500_10vac#877,NiFe_Ni95_Fe05_T500_10vac,877,0.09842798802489544,V1NN_inplane,A1_fe_mover,HOLLOW_FCC,1,1,0,2.489028069192814,1.3823632458827066,,A1_fe_mover
169a81497f4ea4f2ff2d7ff4a88470ecc434c7d3d7ae2e066113a0b002ef14d9,pending_research,approved,4972478298379930765,5581027151000475338,False,702021517,0,0.5621874174243519,,2.0,25.380189404468982,27.0,2.6574382722e-08,129.0,True,2,NiFe_Ni95_Fe05_T800_8vac#979,NiFe_Ni95_Fe05_T800_8vac,979,0.10087208852257756,V1NN_inplane,A1_fe_mover,OTHER,1,1,0,2.486679039386422,1.2838083522254002,,A1_fe_mover
6ba75663285e374af675e90fcb3598595681d936c71c21acd41cfbd66001a9f4,pending_research,approved,4972478298379930765,5581027151000475338,False,702021517,0,0.634017859631561,0.02,5.0,25.3484347996345,26.0,2.4171313819e-07,43.0,True,5,NiFe_Ni95_Fe05_T500_9vac#484,NiFe_Ni95_Fe05_T500_9vac,484,0.10331313106650518,V1NN_inplane,A1_fe_mover,OTHER,1,1,0,2.4884866526002467,1.2848569165457389,,A1_fe_mover
e3e03d29f1727451d68a7bb30381138cb144617568c658d22be654773aec9090,pending_research,pending,4972478298379930765,5581027151000475338,False,702021517,0,0.5902825227221912,,1.0,25.23351580081123,25.0,1.031803794e-08,42.0,True,1,NiFe_Ni95_Fe05_T700_6vac#204,NiFe_Ni95_Fe05_T700_6vac,204,0.10574310696401257,V1NN_inplane,A1_fe_mover,OTHER,1,1,0,2.4682687672462653,1.2708686485887928,,A1_fe_mover
6da62d3627ac30f51ef955689f3072797d068e321254facf30749184f2cc784a,pending_research,pending,4972478298379930765,5581027151000475338,False,4081219197,0,0.6459330057587068,,1.0,25.13080458959625,34.0,5.710193744e-09,34.0,True,1,NiFe_Ni95_Fe05_T800_2vac#319,NiFe_Ni95_Fe05_T800_2vac,319,0.1081631918193986,V1NN_inplane,A1_fe_mover,HOLLOW_FCC,1,1,0,2.476807004064459,1.2697610786540323,,A1_fe_mover
613f4bc2f63544ca9958cc58bcf349cf43a9fa5c4e115f80c7a8a1199248c037,pending_research,pending,4972478298379930765,5581027151000475338,False,702021517,0,0.6605866828858781,,1.0,25.040928639820844,21.0,7.018764715e-09,25.0,True,1,NiFe_Ni95_Fe05_T800_8vac#1438,NiFe_Ni95_Fe05_T800_8vac,1438,0.11057462166240173,V1NN_inplane,A1_fe_mover,OTHER,1,1,0,2.485679294445148,1.2831470636168363,,A1_fe_mover
ccc5382eddbf00c0956f12b3f89edc626e6c7d8a4845188bcc8d0d92696388da,pending_research,pending,4972478298379930765,5581027151000475338,False,4081219197,0,0.5522921255851544,,1.0,25.03694487085226,24.0,2.048719998e-09,24.0,True,1,NiFe_Ni95_Fe05_T800_1vac#245,NiFe_Ni95_Fe05_T800_1vac,245,0.11298566787029626,V1NN_inplane,A1_fe_mover,HOLLOW_FCC,1,1,0,2.454758753153551,1.3781240921684026,,A1_fe_mover
034a6d891e667ada6136986e44aa0f7d1b7d0134af0a3ce1471db8ff166532d9,pending_research,pending,4972478298379930765,5581027151000475338,False,3031796809,0,0.5448608828319267,,1.0,24.65237139758812,18.0,4.906640758e-08,27.0,True,1,NiFe_Ni95_Fe05_T600_9vac#735,NiFe_Ni95_Fe05_T600_9vac,735,0.11535967983063569,V1NN_inplane,A1_fe_mover,HOLLOW_FCC,1,1,0,2.502891518265988,1.1054968839434138,,A1_fe_mover
ddf64d449e15f7a9772ab971e76df2db8ed60e0117243916fd8b863fd1f643ec,pending_research,pending,4972478298379930765,5581027151000475338,False,4081219197,0,0.5402042502000769,,1.0,23.85807349482334,19.0,1.614546751e-09,19.0,True,1,NiFe_Ni95_Fe05_T800_1vac#247,NiFe_Ni95_Fe05_T800_1vac,247,0.11765720127041529,V1NN_inplane,A1_fe_mover,HOLLOW_FCC,1,1,0,2.4514099644693257,1.3721961368576532,,A1_fe_mover
0aa4f08deecdee9f0607ad47ecf0e4ae549dc7742ddd23291d4629c5e261e971,pending_research,pending,4972478298379930765,5581027151000475338,False,4081219197,0,0.6538568643400141,,1.0,23.198631566525176,23.0,5.7215832605e-09,66.0,True,1,NiFe_Ni95_Fe05_T800_7vac#1473,NiFe_Ni95_Fe05_T800_7vac,1473,0.119891218757586,V1NN_inplane,A1_fe_mover,HOLLOW_FCC,1,1,0,2.459449618712915,1.2623630679879547,,A1_fe_mover
8164836264d441dc62dc21bb0c0d851ff7a5afc17ee7d87dab51b59135bfd108,pending_research,pending,4972478298379930765,5581027151000475338,False,1687189792,0,0.6373564604582499,,1.0,22.86246043987252,18.0,4.448288796e-09,44.0,True,1,NiFe_Ni95_Fe05_T800_8vac#744,NiFe_Ni95_Fe05_T800_8vac,744,0.12209286312078729,V1NN_inplane,A1_fe_mover,OTHER,1,1,0,2.4704766576540442,1.2741099661204673,,A1_fe_mover
6a7da0d13a3d5de310910f02120317c6683836a4fa04d0dda4ffe3326075efa6,pending_research,pending,4972478298379930765,5581027151000475338,False,4081219197,0,0.6453809957884006,,1.0,22.814485718463526,27.0,1.0802108893000001e-07,29.0,True,1,NiFe_Ni95_Fe05_T600_6vac#537,NiFe_Ni95_Fe05_T600_6vac,537,0.12428988754051208,V1NN_inplane,A1_fe_mover,HOLLOW_FCC,1,1,0,2.474208069419703,1.2693006128593658,,A1_fe_mover
f5782f4f020aa2b0afb25549eb4938009d2340d8f8a2c92bcc4aeb4bf26e9654,pending_research,pending,4972478298379930765,5581027151000475338,False,702021517,0,0.6805624166117924,,1.0,22.50156147867025,23.0,7.9321796114e-09,81.0,True,1,NiFe_Ni95_Fe05_T800_7vac#1474,NiFe_Ni95_Fe05_T800_7vac,1474,0.126456777500717,V1NN_inplane,A1_fe_mover,OTHER,1,1,0,2.459449618712915,1.2710008777184636,,A1_fe_mover
4475babebd7e251e146b0c478a125c865ace71ccf2693aac4e0fe8350fdc9052,pending_research,pending,4972478298379930765,5581027151000475338,False,2690314080,0,0.6602182339547654,,1.0,22.485251886001148,22.0,1.4355915656e-07,27.0,True,1,NiFe_Ni95_Fe05_T600_6vac#722,NiFe_Ni95_Fe05_T600_6vac,722,0.1286220968546934,V1NN_inplane,A1_fe_mover,OTHER,1,1,0,2.422625471883666,1.2788055426567018,,A1_fe_mover
